"Row Labels, 2, 0)",Average of Value
AUS,82.45555556
AUT,81.47
BEL,81.22
BRA,74.98888889
CAN,81.8
CHE,83.31
CHL,79.8
CHN,75.96666667
COL,75.71
CRI,79.97
CZE,78.7
DEU,80.93
DNK,80.82
ESP,83.11
EST,77.68
FIN,81.46
FRA,82.53
GBR,81.11
GRC,81.32
HUN,75.79
IDN,70.75555556
IND,68.56666667
IRL,81.62222222
ISL,82.71
ISR,82.36
ITA,82.89
JPN,83.86
KOR,81.98888889
LTU,74.87
LUX,82.11
LVA,74.6
MEX,74.92222222
NLD,81.63
NOR,82.36
NZL,81.58888889
POL,77.44
PRT,81.13
RUS,71.47777778
SVK,76.92
SVN,80.89
SWE,82.35
TUR,77.35555556
USA,78.61
ZAF,62.21111111
Grand Total,79.08641686
