Row Labels,Average of Value $/capita
AUS,215.79
AUT,206.41
BEL,197.62
BGR,195.85
BRA,92.20
CAN,272.28
CHE,256.56
COL,59.36
CRI,65.18
CYP,133.87
CZE,161.19
DEU,264.54
DNK,111.37
ESP,165.02
EST,123.91
FIN,172.82
FRA,214.26
GBR,169.39
GRC,210.91
HRV,135.99
HUN,202.03
IRL,202.29
ISL,167.39
ISR,105.87
ITA,196.59
JPN,273.17
KOR,190.91
LTU,178.50
LUX,187.12
LVA,140.27
MEX,87.10
MLT,201.31
NLD,136.15
NOR,150.77
POL,138.93
PRT,150.84
ROU,138.65
RUS,111.04
SVK,191.43
SVN,174.72
SWE,171.79
USA,398.09
Grand Total,176.49
